timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679299626563,8873,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-7,text,true,,678,387,100,100,https://crm.test.fv-dev.chelpis-app.com/line/user,8872,0,756
1679299626560,8876,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-5,text,true,,678,387,100,100,https://crm.test.fv-dev.chelpis-app.com/line/user,8875,0,362
1679299626583,8918,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-9,text,true,,678,387,100,100,https://crm.test.fv-dev.chelpis-app.com/line/user,8918,0,574
1679299626570,8931,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-8,text,true,,678,387,100,100,https://crm.test.fv-dev.chelpis-app.com/line/user,8931,0,572
1679299626692,8865,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-21,text,true,,678,387,100,100,https://crm.test.fv-dev.chelpis-app.com/line/user,8865,0,612
1679299626648,8910,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-16,text,true,,678,387,100,100,https://crm.test.fv-dev.chelpis-app.com/line/user,8910,0,700
1679299626657,8901,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-17,text,true,,678,387,100,100,https://crm.test.fv-dev.chelpis-app.com/line/user,8901,0,528
1679299626560,8997,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-6,text,true,,678,387,100,100,https://crm.test.fv-dev.chelpis-app.com/line/user,8997,0,572
1679299626754,8803,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-27,text,true,,678,387,100,100,https://crm.test.fv-dev.chelpis-app.com/line/user,8803,0,335
1679299626949,8608,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-47,text,true,,678,387,100,100,https://crm.test.fv-dev.chelpis-app.com/line/user,8608,0,393
1679299626560,9030,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-4,text,true,,678,387,100,100,https://crm.test.fv-dev.chelpis-app.com/line/user,9030,0,771
1679299626831,8760,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-35,text,true,,678,387,100,100,https://crm.test.fv-dev.chelpis-app.com/line/user,8760,0,892
1679299626727,8864,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-24,text,true,,678,387,100,100,https://crm.test.fv-dev.chelpis-app.com/line/user,8864,0,943
1679299626970,8622,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-49,text,true,,678,387,100,100,https://crm.test.fv-dev.chelpis-app.com/line/user,8622,0,383
1679299627185,8408,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-71,text,true,,678,387,100,100,https://crm.test.fv-dev.chelpis-app.com/line/user,8408,0,1309
1679299626600,8990,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-11,text,true,,678,387,100,100,https://crm.test.fv-dev.chelpis-app.com/line/user,8990,0,603
1679299626620,8975,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-13,text,true,,678,387,100,100,https://crm.test.fv-dev.chelpis-app.com/line/user,8974,0,762
1679299627016,8579,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-54,text,true,,678,387,100,100,https://crm.test.fv-dev.chelpis-app.com/line/user,8579,0,678
