timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679299849388,41212,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-31,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41212,0,5269
1679299850045,40554,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-410,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,40554,0,8079
1679299849852,40745,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-304,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,40745,0,10674
1679299849858,40751,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-291,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,40751,0,10780
1679299850023,40622,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-394,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,40622,0,9435
1679299849458,41187,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-73,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41187,0,2436
1679299849509,41141,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-108,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41141,0,4097
1679299849662,40988,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-176,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,40988,0,2095
1679299850030,40620,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-398,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,40620,0,9692
1679299849949,40707,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-345,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,40707,0,10172
1679299850167,40489,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-477,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,40489,0,8500
1679299849986,40671,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-377,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,40670,0,9772
1679299850004,40654,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-385,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,40654,0,9793
